N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
89,대우조선해양,"35,800",200,-0.56%,"5,000","38,410","107,291",7.16,"278,816",-9.83,2.27,
90,녹십자,"328,500","4,000",-1.20%,"5,000","38,390","11,687",21.34,"60,340",38.34,7.48,
91,호텔신라,"97,000",300,-0.31%,"5,000","38,071","39,248",19.91,"263,943",-18.36,-36.74,
92,현대오토에버,"135,500","2,000",-1.45%,500,"37,159","27,424",1.44,"88,927",48.29,11.09,
93,GS건설,"42,900",200,-0.46%,"5,000","36,714","85,581",26.34,"589,290",10.31,7.68,
94,NH투자증권,"12,900",0,0.00%,"5,000","36,302","281,409",17.78,"364,890",4.83,10.32,
95,휠라홀딩스,"58,200","1,100",-1.85%,"1,000","35,358","60,752",46.48,"520,556",18.57,10.94,
96,현대미포조선,"87,400","1,600",-1.80%,"5,000","34,909","39,942",10.64,"235,150",-106.72,-0.84,
97,키움증권,"131,000","1,500",-1.13%,"5,000","34,310","26,191",23.27,"135,009",3.50,27.63,
98,한국가스공사,"36,900",150,-0.40%,"5,000","34,063","92,313",6.93,"252,651",-17.36,-2.24,
99,일진머티리얼즈,"73,000",500,+0.69%,500,"33,661","46,111",9.28,"172,289",83.72,7.23,
100,두산인프라코어,"14,450",0,0.00%,"5,000","33,408","231,195",9.01,0,13.75,6.47,
101,대우건설,"7,950",250,-3.05%,"5,000","33,042","415,623",8.82,"7,921,053",8.93,11.06,
102,두산퓨얼셀,"50,000",700,-1.38%,100,"32,747","65,494",12.37,"790,837",282.49,4.18,
103,씨에스윈드,"77,500",600,+0.78%,500,"32,683","42,171",10.54,"204,135",62.45,8.19,
104,롯데쇼핑,"115,500",0,0.00%,"5,000","32,674","28,289",10.96,"51,518",-4.34,-7.70,
105,한화생명,"3,755",5,-0.13%,"5,000","32,613","868,530",7.48,"2,953,203",6.97,1.90,
106,메리츠증권,"4,735",70,+1.50%,"1,000","32,280","681,731",14.09,"1,992,929",5.23,13.08,
107,한화시스템,"17,050",0,0.00%,"5,000","32,211","188,919",2.46,"391,661",19.51,9.35,
108,한국항공우주,"32,900",150,-0.45%,"5,000","32,069","97,475",13.20,"313,891",416.46,6.39,
109,만도,"66,500",500,+0.76%,"1,000","31,226","46,957",25.02,"389,641",67.10,0.37,
110,CJ,"107,000",0,0.00%,"5,000","31,219","29,177",17.64,"57,162",-282.32,1.89,
111,에스원,"81,900",900,+1.11%,500,"31,121","37,999",54.50,"90,978",20.82,10.48,
112,BGF리테일,"179,500","6,000",-3.23%,"1,000","31,025","17,284",32.35,"55,693",24.51,18.60,
113,SK케미칼,"260,000","1,500",-0.57%,"5,000","30,554","11,751",18.43,"50,994",11.80,30.49,
114,KCC,"343,500","5,000",+1.48%,"5,000","30,525","8,886",11.91,"43,775",3.54,12.79,
115,동서,"30,500",200,-0.65%,500,"30,408","99,700",3.53,"60,286",26.59,8.61,
116,GS리테일,"38,650",950,+2.52%,"1,000","29,760","77,000",10.47,"750,443",19.86,7.50,
117,LG화학우,"383,500","1,500",+0.39%,"5,000","29,487","7,689",66.41,"16,645",16.69,N/A,
118,제일기획,"25,150",300,+1.21%,200,"28,933","115,041",33.70,"310,732",17.44,16.11,
119,포스코인터내셔널,"23,300",100,+0.43%,"5,000","28,746","123,375",11.94,"611,247",11.12,7.69,
120,메리츠금융지주,"21,200",950,+4.69%,500,"28,410","134,011",7.92,"324,427",4.96,16.06,
121,현대차우,"115,500",0,0.00%,"5,000","28,132","24,357",58.78,"40,433",13.98,N/A,
122,신세계,"285,500","2,000",-0.70%,"5,000","28,108","9,845",27.67,"71,587",-87.93,-2.81,
123,OCI,"117,500","1,500",-1.26%,"5,000","28,023","23,849",15.83,"221,356",-18.42,-9.89,
124,한솔케미칼,"245,500","5,500",+2.29%,"5,000","27,828","11,335",41.84,"54,041",21.46,24.50,
125,DB하이텍,"62,400","1,700",+2.80%,"5,000","27,705","44,399",16.10,"1,511,166",17.49,23.07,
126,현대위아,"101,500","2,100",+2.11%,"5,000","27,603","27,195",8.11,"727,218",179.33,1.96,
127,DL이앤씨,"142,000","3,000",+2.16%,"5,000","27,489","19,359",27.92,"262,556",N/A,N/A,
128,대웅,"46,750",100,+0.21%,500,"27,181","58,142",3.82,"626,471",31.59,15.10,
129,현대로템,"24,250",350,-1.42%,"5,000","26,467","109,142",4.29,"1,194,665",56.13,2.84,
130,하이트진로,"37,700",0,0.00%,"5,000","26,440","70,134",7.27,"428,633",32.61,8.23,
131,대한전선,"3,070",10,+0.33%,500,"26,294","856,473",2.50,"21,375,631",219.29,0.92,
132,BNK금융지주,"7,730",30,-0.39%,"5,000","25,195","325,935",38.34,"819,166",4.39,6.11,
133,더존비즈온,"83,000",100,+0.12%,500,"25,183","30,341",38.23,"103,246",46.21,15.09,
134,KODEX 단기채권,"102,775",5,0.00%,0,"24,915","24,242",0.00,"21,753",N/A,N/A,
135,KODEX 200선물인버스2X,"1,850",15,-0.80%,0,"24,620","1,330,800",3.54,"91,528,725",N/A,N/A,
136,메리츠화재,"20,400",400,+2.00%,500,"24,608","120,625",10.91,"447,748",5.16,16.91,
137,한샘,"102,500","2,500",-2.38%,"1,000","24,122","23,534",22.55,"109,223",32.88,10.83,
138,한화,"31,750",400,+1.28%,"5,000","23,799","74,959",18.22,"276,680",8.13,4.79,
139,한화에어로스페이스,"47,000",350,-0.74%,"5,000","23,796","50,630",19.54,"328,481",10.65,4.78,
140,금호타이어,"8,020",140,-1.72%,"5,000","23,038","287,260",4.52,"1,659,651",-151.32,-6.74,
141,LS,"70,800",700,+1.00%,"5,000","22,798","32,200",14.59,"110,663",12.47,3.94,
